Date,Time,Polinka,Parking Wrońskiego,D20 - D21,GEO LO1 Geocentrum,Architecture
2024-12-12,14:30,1,1,12,85,52
2024-12-12,14:40,2,2,16,87,54
2024-12-12,15:00,4,1,15,100,55
2024-12-12,15:10,6,16,7,103,58
2024-12-12,15:20,3,6,4,110,57
2024-12-12,15:30,3,7,9,120,55
2024-12-12,15:40,9,13,10,129,57
2024-12-12,15:50,11,11,10,133,57
2024-12-12,16:00,11,15,10,137,57
2024-12-12,16:20,12,10,12,151,56
2024-12-12,16:30,12,11,15,158,58
2024-12-12,16:40,12,12,17,160,58
2024-12-12,16:50,12,14,16,169,62
2024-12-12,17:00,14,17,14,175,64
2024-12-12,17:10,16,11,9,185,65
2024-12-12,17:20,16,16,10,187,67
2024-12-12,17:30,16,16,11,190,70
2024-12-12,17:40,16,15,13,194,71
2024-12-12,17:50,16,15,11,197,71
2024-12-12,18:00,16,15,12,197,72
2024-12-12,18:20,18,14,14,202,74
2024-12-12,18:30,19,16,15,208,75
2024-12-12,18:50,24,28,20,216,76
2024-12-12,19:00,27,29,19,220,77
2024-12-12,19:10,27,23,22,222,78
2024-12-12,19:20,27,20,21,224,78
2024-12-12,19:30,27,24,22,224,78
2024-12-12,19:40,26,25,24,224,79
2024-12-12,20:10,29,35,28,225,81
2024-12-12,20:20,29,38,29,225,81
2024-12-12,20:30,29,37,32,226,81
2024-12-12,20:40,29,39,34,229,81
2024-12-12,20:50,30,42,34,230,81
2024-12-13,05:00,61,192,68,267,84
2024-12-13,05:10,54,192,68,267,84
2024-12-13,05:20,54,192,67,267,84
2024-12-13,05:40,46,189,66,267,84
2024-12-13,05:50,45,187,64,266,83
2024-12-13,06:10,42,182,55,267,83
2024-12-13,06:20,40,181,53,267,83
2024-12-13,06:30,40,178,43,266,83
2024-12-13,06:40,38,163,36,266,83
2024-12-13,06:50,30,155,23,265,83
2024-12-13,07:00,20,127,0,260,81
2024-12-13,07:10,0,86,0,253,81
2024-12-13,07:20,0,54,0,240,77
2024-12-13,07:40,0,0,0,221,76
2024-12-13,07:50,0,0,0,208,73
2024-12-13,08:10,0,0,0,195,67
2024-12-13,08:20,0,0,0,188,60
2024-12-13,08:30,0,0,0,177,54
2024-12-13,08:40,0,0,0,172,52
2024-12-13,09:00,0,0,0,134,47
2024-12-13,09:10,0,0,1,119,46
2024-12-13,09:20,0,0,0,109,46
2024-12-13,09:40,0,0,0,99,44
2024-12-13,10:00,0,0,0,94,45
2024-12-13,10:10,0,0,1,93,48
2024-12-13,10:20,0,0,0,91,49
2024-12-13,10:40,0,0,0,82,48
2024-12-13,10:50,0,0,0,87,46
2024-12-13,11:00,0,3,0,88,46
2024-12-13,11:10,1,0,0,92,47
2024-12-13,11:20,0,0,0,93,47
2024-12-13,11:30,0,0,0,90,42
2024-12-13,12:10,0,0,1,92,40
2024-12-13,12:20,0,0,0,92,38
2024-12-13,12:30,0,0,1,91,39
2024-12-13,12:40,0,0,0,92,37
2024-12-13,13:00,0,2,0,93,36
2024-12-13,13:10,0,1,2,95,39
2024-12-13,13:20,0,0,0,98,41
2024-12-13,13:30,1,0,0,100,41
2024-12-13,13:40,1,2,2,104,41
2024-12-13,13:50,2,2,8,105,44
2024-12-13,14:00,4,4,16,107,44
2024-12-13,14:10,4,9,17,111,42
2024-12-13,14:20,4,15,16,115,43
2024-12-13,15:00,14,49,12,158,51
2024-12-13,15:20,13,70,13,178,57
2024-12-13,15:50,16,83,20,199,67
2024-12-13,16:00,17,89,20,204,69
2024-12-13,16:10,18,92,21,207,70
2024-12-13,16:30,18,94,18,215,72
2024-12-13,16:40,18,97,16,218,73
2024-12-13,17:10,19,101,23,235,76
2024-12-13,17:40,19,101,22,241,81
2024-12-13,18:00,18,107,22,243,81
2024-12-13,18:10,18,109,24,243,83
2024-12-13,18:20,19,112,26,243,83
2024-12-13,18:30,21,118,26,243,83
2024-12-13,18:40,21,124,35,245,83
2024-12-13,18:50,21,131,35,247,84
2024-12-13,19:10,20,133,31,250,84
2024-12-13,19:20,21,135,33,250,84
2024-12-13,19:30,21,134,35,251,84
2024-12-13,19:40,21,135,36,251,84
2024-12-13,19:50,21,136,36,252,84
2024-12-13,20:00,21,137,37,252,84
2024-12-13,05:00,61,192,68,267,84
2024-12-13,05:10,54,192,68,267,84
2024-12-13,05:20,54,192,67,267,84
2024-12-13,05:40,46,189,66,267,84
2024-12-13,05:50,45,187,64,266,83
2024-12-13,06:10,42,182,55,267,83
2024-12-13,06:20,40,181,53,267,83
2024-12-13,06:30,40,178,43,266,83
2024-12-13,06:40,38,163,36,266,83
2024-12-13,06:50,30,155,23,265,83
2024-12-13,07:00,20,127,0,260,81
2024-12-13,07:10,0,86,0,253,81
2024-12-13,07:20,0,54,0,240,77
2024-12-13,07:40,0,0,0,221,76
2024-12-13,07:50,0,0,0,208,73
2024-12-13,08:10,0,0,0,195,67
2024-12-13,08:20,0,0,0,188,60
2024-12-13,08:30,0,0,0,177,54
2024-12-13,08:40,0,0,0,172,52
2024-12-13,09:00,0,0,0,134,47
2024-12-13,09:10,0,0,1,119,46
2024-12-13,09:20,0,0,0,109,46
2024-12-13,09:40,0,0,0,99,44
2024-12-13,10:00,0,0,0,94,45
2024-12-13,10:10,0,0,1,93,48
2024-12-13,10:20,0,0,0,91,49
2024-12-13,10:40,0,0,0,82,48
2024-12-13,10:50,0,0,0,87,46
2024-12-13,11:00,0,3,0,88,46
2024-12-13,11:10,1,0,0,92,47
2024-12-13,11:20,0,0,0,93,47
2024-12-13,11:30,0,0,0,90,42
2024-12-13,12:10,0,0,1,92,40
2024-12-13,12:20,0,0,0,92,38
2024-12-13,12:30,0,0,1,91,39
2024-12-13,12:40,0,0,0,92,37
2024-12-13,13:00,0,2,0,93,36
2024-12-13,13:10,0,1,2,95,39
2024-12-13,13:20,0,0,0,98,41
2024-12-13,13:30,1,0,0,100,41
2024-12-13,13:40,1,2,2,104,41
2024-12-13,13:50,2,2,8,105,44
2024-12-13,14:00,4,4,16,107,44
2024-12-13,14:10,4,9,17,111,42
2024-12-13,14:20,4,15,16,115,43
2024-12-13,15:00,14,49,12,158,51
2024-12-13,15:20,13,70,13,178,57
2024-12-13,15:50,16,83,20,199,67
2024-12-13,16:00,17,89,20,204,69
2024-12-13,16:10,18,92,21,207,70
2024-12-13,16:30,18,94,18,215,72
2024-12-13,16:40,18,97,16,218,73
2024-12-13,17:10,19,101,23,235,76
2024-12-13,17:40,19,101,22,241,81
2024-12-13,18:00,18,107,22,243,81
2024-12-13,18:10,18,109,24,243,83
2024-12-13,18:20,19,112,26,243,83
2024-12-13,18:30,21,118,26,243,83
2024-12-13,18:40,21,124,35,245,83
2024-12-13,18:50,21,131,35,247,84
2024-12-13,19:10,20,133,31,250,84
2024-12-13,19:20,21,135,33,250,84
2024-12-13,19:30,21,134,35,251,84
2024-12-13,19:40,21,135,36,251,84
2024-12-13,19:50,21,136,36,252,84
2024-12-13,20:00,21,137,37,252,84
2024-12-13,20:20,21,142,37,253,84
2024-12-13,20:30,21,144,38,253,84
2024-12-13,20:50,21,145,40,253,84
2024-12-14,05:00,61,192,69,267,84
2024-12-14,05:10,61,192,69,267,84
2024-12-14,05:20,61,192,69,267,84
2024-12-14,05:40,61,192,69,267,84
2024-12-14,06:00,61,187,69,267,83
2024-12-14,06:10,61,187,69,267,83
2024-12-14,06:20,61,186,69,267,83
2024-12-14,06:30,61,186,69,267,83
2024-12-14,06:50,61,186,69,267,83
2024-12-14,07:10,61,179,45,267,83
2024-12-14,07:20,59,172,35,265,83
2024-12-14,07:30,58,163,23,263,83
2024-12-14,08:00,53,148,2,261,83
2024-12-14,08:10,53,137,0,261,83
2024-12-14,08:20,53,134,0,261,83
2024-12-14,08:30,52,133,1,262,83
2024-12-14,08:40,52,131,1,262,83
2024-12-14,08:50,50,129,1,261,83
2024-12-14,09:00,48,124,0,261,83
2024-12-14,09:20,40,117,0,257,83
2024-12-14,09:30,38,114,0,257,83
2024-12-14,09:40,31,105,0,256,83
2024-12-14,09:50,28,98,0,255,83
2024-12-14,10:00,23,93,1,254,83
2024-12-14,10:10,22,94,1,254,83
2024-12-14,10:20,21,91,1,255,83
2024-12-14,10:30,21,89,0,255,83
2024-12-14,10:40,21,84,0,254,83
2024-12-14,10:50,19,82,0,254,83
2024-12-14,11:10,19,73,1,254,83
2024-12-14,11:20,17,70,0,254,83
2024-12-14,11:50,15,66,0,254,83
2024-12-14,12:00,16,64,1,254,83
2024-12-14,12:10,20,64,0,254,83
2024-12-14,12:20,22,63,2,254,83
2024-12-14,12:40,25,60,0,256,83
2024-12-14,13:20,24,54,0,256,83
2024-12-14,13:30,22,55,0,257,83
2024-12-14,13:40,22,56,1,257,83
2024-12-14,13:50,22,57,1,257,83
2024-12-14,14:00,21,58,0,256,83
2024-12-14,14:10,20,60,2,256,83
2024-12-14,14:20,20,58,0,256,83
2024-12-14,14:40,21,65,0,254,83
2024-12-14,15:10,29,76,4,255,83
2024-12-14,15:20,29,78,2,261,83
2024-12-14,15:30,27,82,5,261,83
2024-12-14,15:40,27,84,4,261,83
2024-12-14,15:50,28,86,3,261,83
2024-12-14,16:00,30,88,3,262,83
2024-12-14,16:10,30,88,4,263,83
2024-12-14,16:20,30,87,3,263,83
2024-12-14,16:30,31,86,0,263,83
2024-12-14,16:40,33,87,1,263,83
2024-12-14,16:50,31,90,5,263,83
2024-12-14,17:00,31,88,6,266,83
2024-12-14,17:10,30,88,2,265,83
2024-12-14,17:20,30,92,1,264,83
2024-12-14,17:40,31,92,0,264,83
2024-12-14,17:50,31,91,0,265,83
2024-12-14,18:00,32,93,0,265,83
2024-12-14,18:10,34,99,4,265,83
2024-12-14,18:20,36,108,7,265,83
2024-12-14,18:30,42,118,9,265,83
2024-12-14,18:40,42,125,17,265,83
2024-12-14,18:50,42,136,18,265,83
2024-12-14,19:10,44,142,24,265,83
2024-12-14,19:20,44,146,26,265,83
2024-12-14,19:40,47,147,23,265,83
2024-12-14,19:50,49,148,23,265,83
2024-12-14,20:00,50,149,23,265,83
2024-12-14,20:10,50,159,27,265,83
2024-12-14,20:30,51,167,34,266,83
2024-12-14,20:40,51,167,37,266,83
2024-12-14,20:50,51,165,39,266,83
2024-12-15,05:00,61,192,69,267,84
2024-12-15,05:10,61,192,69,267,84
2024-12-15,05:30,61,192,69,267,84
2024-12-15,05:40,61,191,69,267,84
2024-12-15,05:50,61,191,69,267,84
2024-12-15,06:00,61,190,69,267,84
2024-12-15,06:20,61,190,69,267,84
2024-12-15,06:40,61,190,69,267,84
2024-12-15,06:50,61,190,69,267,84
2024-12-15,07:00,61,187,69,267,84
2024-12-15,07:10,59,181,66,267,84
2024-12-15,07:20,59,175,61,267,84
2024-12-15,07:30,59,167,52,267,84
2024-12-15,07:50,57,158,43,267,84
2024-12-15,08:00,55,150,45,267,84
2024-12-15,08:10,54,145,45,267,84
2024-12-15,08:20,53,142,44,267,84
2024-12-15,08:30,52,141,44,267,84
2024-12-15,08:40,52,141,44,266,84
2024-12-15,08:50,52,140,42,265,84
2024-12-15,09:00,52,138,40,264,84
2024-12-15,09:10,47,135,37,264,84
2024-12-15,09:30,45,129,36,261,84
2024-12-15,09:40,42,128,35,259,84
2024-12-15,09:50,41,127,34,260,84
2024-12-15,10:00,40,126,33,260,84
2024-12-15,10:10,39,126,33,260,84
